frame,time,ROI,BVP,BPM
1,29.214989,lower medial forehead,-0.003967358872484488,116.40347290039062
1,29.214989,left lower lateral forehead,-0.0013701195963187335,117.25938415527344
1,29.214989,right lower lateral forehead,-0.0009257684756635036,117.25938415527344
1,29.214989,glabella,-0.0011706585209184652,117.25938415527344
1,29.214989,upper nasal dorsum,0.00043924084828004465,117.25938415527344
1,29.214989,lower nasal dorsum,0.0004121633588623403,114.69165802001953
1,29.214989,soft triangle,-0.005503458365308349,117.25938415527344
1,29.214989,left ala,0.0037473819979765184,115.54756164550781
1,29.214989,right ala,-0.004740756327929803,115.54756164550781
1,29.214989,nasal tip,0.009634795262023819,116.40347290039062
1,29.214989,left lower nasal sidewall,-0.0068684259903216425,118.97119903564453
1,29.214989,right lower nasal sidewall,0.00012540900115081517,118.11528778076172
1,29.214989,left mid nasal sidewall,0.0019430135289065281,113.83574676513672
1,29.214989,right mid nasal sidewall,0.0046792620236214945,90.72623443603516
1,29.214989,philtrum,-0.009532756402589907,95.86168670654297
1,29.214989,left upper lip,0.003638789792319667,118.11528778076172
1,29.214989,right upper lip,0.005892836243532077,47.930843353271484
1,29.214989,left nasolabial fold,-0.0014884723060675246,117.25938415527344
1,29.214989,right nasolabial fold,3.1993801970926267e-06,115.54756164550781
1,29.214989,left temporal,-0.00033147792791036237,118.11528778076172
1,29.214989,right temporal,-0.00654305012962915,116.40347290039062
1,29.214989,left malar,-0.0014239771069604675,117.25938415527344
1,29.214989,right malar,-0.004636802373395836,117.25938415527344
1,29.214989,left lower cheek,-0.0018936666728914039,118.11528778076172
1,29.214989,right lower cheek,0.00013809774590988903,117.25938415527344
1,29.214989,chin,-0.0030696890768160245,116.40347290039062
1,29.214989,left marionette fold,-0.001165741379341578,117.25938415527344
1,29.214989,right marionette fold,-0.0012681031097648199,117.25938415527344
2,58.429978,lower medial forehead,-0.001172838005771493,116.40347290039062
2,58.429978,left lower lateral forehead,0.002663723944946391,117.23282434656336
2,58.429978,right lower lateral forehead,0.0023264794515163428,117.23282434656336
2,58.429978,glabella,0.0011507219489337067,117.20626453785329
2,58.429978,upper nasal dorsum,-0.0014999231478192228,117.25938415527344
2,58.429978,lower nasal dorsum,0.008781616051005135,114.69165802001953
2,58.429978,soft triangle,-0.003153891781206204,117.17970496589119
2,58.429978,left ala,0.006923102327954051,115.60068126292796
2,58.429978,right ala,0.0009442156171971753,115.60068126292796
2,58.429978,nasal tip,0.010352444103434463,116.35035351971845
2,58.429978,left lower nasal sidewall,-0.004916055452748131,118.89151984626228
2,58.429978,right lower nasal sidewall,0.003291727830583843,118.06216840008955
2,58.429978,left mid nasal sidewall,0.0047921917214655135,113.94198576322906
2,58.429978,right mid nasal sidewall,0.004768530804518466,91.28398828821497
2,58.429978,philtrum,-0.02081935435787112,96.28664175192037
2,58.429978,left upper lip,0.00286471626296871,117.95592963874519
2,58.429978,right upper lip,0.018799204632280887,50.00250026485225
2,58.429978,left nasolabial fold,0.0011966633158111016,117.1531451571811
2,58.429978,right nasolabial fold,0.0019276052564333758,115.54756164550781
2,58.429978,left temporal,-0.0008103450996412442,118.08872820879962
2,58.429978,right temporal,-0.00948808205201912,116.4565922810628
2,58.429978,left malar,-0.0014432952662691162,117.31250353594561
2,58.429978,right malar,-0.006747187278777939,117.23282434656336
2,58.429978,left lower cheek,-0.0017171241081891883,118.03560859137947
2,58.429978,right lower cheek,-0.00016500720027029124,117.20626453785329
2,58.429978,chin,0.00010490169849716041,116.35035351971845
2,58.429978,left marionette fold,-0.004273578437722926,117.28594372723553
2,58.429978,right marionette fold,-0.0028798217593482087,117.23282434656336
3,87.644967,lower medial forehead,-0.0009891528032003555,116.40347290039062
3,87.644967,left lower lateral forehead,0.00478292983073538,117.20626453785329
3,87.644967,right lower lateral forehead,0.0032526944145806263,117.20626453785329
3,87.644967,glabella,0.0012960788056643896,117.15314492043314
3,87.644967,upper nasal dorsum,-0.0055240875178478675,117.25938415527344
3,87.644967,lower nasal dorsum,0.012138693326854738,114.69165802001953
3,87.644967,soft triangle,-0.0043004558932352045,117.10002577650893
3,87.644967,left ala,0.005856480544423973,115.65380088034811
3,87.644967,right ala,0.004080615362045601,115.65380088034811
3,87.644967,nasal tip,0.01019513811294139,116.29723413904627
3,87.644967,left lower nasal sidewall,-0.00408979538855862,118.81184065688002
3,87.644967,right lower nasal sidewall,0.007019641314732188,118.00904901941736
3,87.644967,left mid nasal sidewall,0.0033429192377044704,114.04822476132138
3,87.644967,right mid nasal sidewall,0.005374225311912713,91.84174214039479
3,87.644967,philtrum,-0.0312548749935716,96.71159679729779
3,87.644967,left upper lip,0.0010925795627610472,117.79657149672866
3,87.644967,right upper lip,0.031134262983086303,52.074157176433026
3,87.644967,left nasolabial fold,0.0019784665035498753,117.04690615908878
3,87.644967,right nasolabial fold,0.003969577430085747,115.54756164550781
3,87.644967,left temporal,-0.0021220852497394775,118.06216863683753
3,87.644967,right temporal,-0.011605137412559327,116.50971166173498
3,87.644967,left malar,-0.0014524342714600173,117.3656229166178
3,87.644967,right malar,-0.008806823604237336,117.20626453785329
3,87.644967,left lower cheek,-0.0019322621834601946,117.95592940199721
3,87.644967,right lower cheek,-0.002082949070960182,117.15314492043314
3,87.644967,chin,0.0030574167085361727,116.29723413904627
3,87.644967,left marionette fold,-0.008373482006520837,117.31250329919763
3,87.644967,right marionette fold,-0.003515651071440118,117.20626453785329
4,116.859956,lower medial forehead,-0.0044171281132141214,116.40347290039062
4,116.859956,left lower lateral forehead,0.003953719698203561,117.17970472914321
4,116.859956,right lower lateral forehead,0.0007136201946449359,117.17970472914321
4,116.859956,glabella,-0.0013374176277927124,117.10002530301297
4,116.859956,upper nasal dorsum,-0.012372742740305394,117.25938415527344
4,116.859956,lower nasal dorsum,0.008452936487905746,114.69165802001953
4,116.859956,soft triangle,-0.01050491275142055,117.02034658712668
4,116.859956,left ala,7.889931980657565e-05,115.70692049776828
4,116.859956,right ala,0.0032721341300846374,115.70692049776828
4,116.859956,nasal tip,0.00881067176352259,116.2441147583741
4,116.859956,left lower nasal sidewall,-0.005674358718669434,118.73216146749778
4,116.859956,right lower nasal sidewall,0.010540456460261496,117.95592963874519
4,116.859956,left mid nasal sidewall,-0.004122445496016435,114.15446375941372
4,116.859956,right mid nasal sidewall,0.006072590584857935,92.3994959925746
4,116.859956,philtrum,-0.03922116510757064,97.13655184267519
4,116.859956,left upper lip,-0.0015040076624806466,117.63721335471213
4,116.859956,right upper lip,0.04240601361324037,54.14581408801379
4,116.859956,left nasolabial fold,0.00015876063242019301,116.94066716099644
4,116.859956,right nasolabial fold,0.005895575608832357,115.54756164550781
4,116.859956,left temporal,-0.004740454249521693,118.03560906487542
4,116.859956,right temporal,-0.012282931523356772,116.56283104240715
4,116.859956,left malar,-0.0017704144948965108,117.41874229728997
4,116.859956,right malar,-0.01064838944712602,117.17970472914321
4,116.859956,left lower cheek,-0.0029035150642388635,117.87625021261496
4,116.859956,right lower cheek,-0.006017149851619616,117.10002530301297
4,116.859956,chin,0.0053481262639118515,116.2441147583741
4,116.859956,left marionette fold,-0.013473931955560337,117.33906287115974
4,116.859956,right marionette fold,-0.0026474845624666955,117.17970472914321
5,146.074945,lower medial forehead,-0.010174130681261008,116.40347290039062
5,146.074945,left lower lateral forehead,0.00043685264085078406,117.15314492043314
5,146.074945,right lower lateral forehead,-0.004693844742038447,117.15314492043314
5,146.074945,glabella,-0.005345261516497433,117.04690568559282
5,146.074945,upper nasal dorsum,-0.021169171626565814,117.25938415527344
5,146.074945,lower nasal dorsum,-0.00034145520394422875,114.69165802001953
5,146.074945,soft triangle,-0.020335605084999913,116.94066739774442
5,146.074945,left ala,-0.006632336524934002,115.76004011518843
5,146.074945,right ala,-0.0007500260841245077,115.76004011518843
5,146.074945,nasal tip,0.006318001742279301,116.19099537770192
5,146.074945,left lower nasal sidewall,-0.010694503413015926,118.65248227811551
5,146.074945,right lower nasal sidewall,0.011478303855835217,117.90281025807302
5,146.074945,left mid nasal sidewall,-0.016090913044854892,114.26070275750604
5,146.074945,right mid nasal sidewall,0.005139465135184566,92.95724984475443
5,146.074945,philtrum,-0.04263299036951733,97.5615068880526
5,146.074945,left upper lip,-0.0034449529920928803,117.4778552126956
5,146.074945,right upper lip,0.05204276293070256,56.21747099959457
5,146.074945,left nasolabial fold,-0.0032772107098368608,116.83442816290412
5,146.074945,right nasolabial fold,0.007063208680728028,115.54756164550781
5,146.074945,left temporal,-0.008547882173245126,118.00904949291332
5,146.074945,right temporal,-0.011215120131895712,116.61595042307933
5,146.074945,left malar,-0.002949675892081634,117.47186167796214
