frame,time,ROI,R,G,B
1,29.264106,lower medial forehead,215.7457337883959,173.8566552901024,172.53924914675767
1,29.264106,left lower lateral forehead,193.8,150.1578947368421,145.8921052631579
1,29.264106,right lower lateral forehead,188.49576271186442,146.1864406779661,141.95338983050848
1,29.264106,glabella,197.42836879432625,150.53617021276597,145.91914893617022
1,29.264106,upper nasal dorsum,191.1675,148.015,142.1325
1,29.264106,lower nasal dorsum,207.80645161290323,159.78064516129032,156.74193548387098
1,29.264106,soft triangle,186.08496732026143,143.26143790849673,137.59477124183007
1,29.264106,left ala,175.34567901234567,134.4814814814815,127.8395061728395
1,29.264106,right ala,178.54054054054055,137.2972972972973,130.86486486486487
1,29.264106,nasal tip,211.17171717171718,161.0,155.16161616161617
1,29.264106,left lower nasal sidewall,180.6090909090909,138.36363636363637,131.15454545454546
1,29.264106,right lower nasal sidewall,183.8,139.09411764705882,132.51764705882354
1,29.264106,left mid nasal sidewall,183.02564102564102,143.66666666666666,138.26923076923077
1,29.264106,right mid nasal sidewall,186.07142857142858,143.07142857142858,137.0142857142857
1,29.264106,philtrum,183.40697674418604,138.97093023255815,135.19767441860466
1,29.264106,left upper lip,183.7984496124031,142.68217054263565,138.46511627906978
1,29.264106,right upper lip,187.13934426229508,143.58196721311475,138.2295081967213
1,29.264106,left nasolabial fold,186.61748633879782,146.2622950819672,140.6120218579235
1,29.264106,right nasolabial fold,187.72988505747125,144.9712643678161,137.79310344827587
1,29.264106,left temporal,105.6710875331565,80.57294429708223,76.49867374005305
1,29.264106,right temporal,61.234432234432234,51.43589743589744,47.252747252747255
1,29.264106,left malar,190.73654066437572,146.1683848797251,145.89117983963345
1,29.264106,right malar,187.66372795969772,142.80982367758187,142.08942065491183
1,29.264106,left lower cheek,159.5450581395349,124.99709302325581,121.17005813953489
1,29.264106,right lower cheek,165.82407407407408,129.8925925925926,125.3462962962963
1,29.264106,chin,164.90582959641256,131.0777279521674,127.19730941704036
1,29.264106,left marionette fold,153.0035335689046,124.04946996466431,120.12014134275618
1,29.264106,right marionette fold,158.7913043478261,127.49130434782609,121.84347826086956
2,58.528212,lower medial forehead,215.55112651646448,173.0779896013865,171.37261698440207
2,58.528212,left lower lateral forehead,194.19196988707654,150.51693851944793,146.65370138017565
2,58.528212,right lower lateral forehead,183.69024045261668,141.9094766619519,138.2121640735502
2,58.528212,glabella,195.860529986053,149.2845188284519,144.28591352859135
2,58.528212,upper nasal dorsum,192.16486486486485,148.93783783783783,143.2945945945946
2,58.528212,lower nasal dorsum,206.4848484848485,158.3939393939394,154.83030303030304
2,58.528212,soft triangle,179.73202614379085,137.15032679738562,130.86928104575162
2,58.528212,left ala,174.46067415730337,133.23595505617976,126.35955056179775
2,58.528212,right ala,179.16216216216216,136.24324324324326,130.5810810810811
2,58.528212,nasal tip,210.32692307692307,161.54807692307693,156.21153846153845
2,58.528212,left lower nasal sidewall,180.98214285714286,138.29464285714286,131.65178571428572
2,58.528212,right lower nasal sidewall,183.94117647058823,138.98823529411766,133.04705882352943
2,58.528212,left mid nasal sidewall,183.64634146341464,143.4268292682927,138.3780487804878
2,58.528212,right mid nasal sidewall,186.93548387096774,143.08064516129033,137.06451612903226
2,58.528212,philtrum,185.2,137.34545454545454,136.20606060606062
2,58.528212,left upper lip,183.57246376811594,140.63768115942028,136.78985507246378
2,58.528212,right upper lip,184.97540983606558,140.02459016393442,136.2622950819672
2,58.528212,left nasolabial fold,186.5678391959799,146.23115577889448,140.2713567839196
2,58.528212,right nasolabial fold,188.32142857142858,146.42261904761904,138.6904761904762
2,58.528212,left temporal,94.51288056206089,72.68852459016394,68.69555035128806
2,58.528212,right temporal,59.94117647058823,50.497737556561084,46.90045248868778
2,58.528212,left malar,189.59130434782608,145.3586956521739,145.1336956521739
