lux,ROI,MAE,PCC
10,chin,24.18270834,0.130622508
10,glabella,12.0947828,0.212189082
10,left ala,29.70961107,0.128457694
10,left lower cheek,32.59160312,0.143331238
10,left lower lateral forehead,37.91324559,0.146132196
10,left lower nasal sidewall,46.60749798,0.115723224
10,left malar,17.14937618,0.199457501
10,left marionette fold,39.33093729,0.11391931
10,left mid nasal sidewall,44.41656194,0.119265788
10,left nasolabial fold,36.72944335,0.105934508
10,left temporal,52.1339317,0.097932383
10,left upper lip,43.21713693,0.115135841
10,lower medial forehead,30.24603249,0.170146812
10,lower nasal dorsum,32.4192172,0.131871355
10,nasal tip,31.81105773,0.156729361
10,philtrum,41.48508789,0.120577005
10,right ala,38.18553168,0.106595364
10,right lower cheek,29.62332655,0.162391875
10,right lower lateral forehead,39.15701529,0.125451984
10,right lower nasal sidewall,51.51653019,0.113161418
10,right malar,16.20078598,0.189716511
10,right marionette fold,40.15948977,0.110751435
10,right mid nasal sidewall,46.498374,0.102398048
10,right nasolabial fold,37.74045787,0.124607892
10,right temporal,49.15106929,0.088712806
10,right upper lip,42.95098962,0.137927242
10,soft triangle,18.24621624,0.19765129
10,upper nasal dorsum,16.28051939,0.193921088
15.8,chin,16.97238659,0.155204673
15.8,glabella,9.758933892,0.251644623
15.8,left ala,26.0398473,0.150009089
15.8,left lower cheek,22.65713312,0.159634802
15.8,left lower lateral forehead,26.65600724,0.17408109
15.8,left lower nasal sidewall,36.25809964,0.147433795
15.8,left malar,10.67841604,0.232007307
15.8,left marionette fold,26.86576103,0.17009787
15.8,left mid nasal sidewall,35.61452033,0.148455258
15.8,left nasolabial fold,32.26012184,0.163038455
15.8,left temporal,42.99081342,0.087908028
15.8,left upper lip,38.40343176,0.112176461
15.8,lower medial forehead,18.30459366,0.181001387
15.8,lower nasal dorsum,25.68068853,0.153731645
15.8,nasal tip,23.2257404,0.1705933
15.8,philtrum,32.77190782,0.149543756
15.8,right ala,25.83663923,0.15499
15.8,right lower cheek,27.93497225,0.16883906
15.8,right lower lateral forehead,28.64624972,0.147845667
15.8,right lower nasal sidewall,43.49789541,0.142627832
15.8,right malar,10.92225308,0.236994997
15.8,right marionette fold,32.25018501,0.151294446
15.8,right mid nasal sidewall,39.65629729,0.118214769
15.8,right nasolabial fold,28.64552634,0.152982835
15.8,right temporal,43.2333995,0.095971184
15.8,right upper lip,35.27322313,0.139412088
15.8,soft triangle,10.80353243,0.21924054
15.8,upper nasal dorsum,14.73951258,0.225189951
25.1,chin,16.39026976,0.191722948
25.1,glabella,6.121100239,0.235724773
25.1,left ala,21.26907305,0.163363482
25.1,left lower cheek,15.22007065,0.186461034
25.1,left lower lateral forehead,17.1664271,0.167151338
25.1,left lower nasal sidewall,26.76723193,0.138142609
25.1,left malar,7.893028759,0.222072442
25.1,left marionette fold,24.77077983,0.188123344
25.1,left mid nasal sidewall,36.67078281,0.139574382
25.1,left nasolabial fold,25.3501103,0.151155487
25.1,left temporal,40.34733009,0.095996308
25.1,left upper lip,30.92771473,0.139983666
25.1,lower medial forehead,14.81419725,0.205552204
25.1,lower nasal dorsum,23.96728291,0.17919053
25.1,nasal tip,17.02909532,0.195579101
25.1,philtrum,24.33732711,0.18435439
25.1,right ala,21.23136974,0.174803877
25.1,right lower cheek,16.76989086,0.165968714
25.1,right lower lateral forehead,25.06912074,0.180733777
25.1,right lower nasal sidewall,34.6185063,0.155677587
25.1,right malar,8.521616199,0.232098876
25.1,right marionette fold,25.25574367,0.161540406
25.1,right mid nasal sidewall,32.72362584,0.130446144
25.1,right nasolabial fold,23.46259851,0.150373028
25.1,right temporal,46.89683672,0.11229704
25.1,right upper lip,40.05431685,0.148366958
25.1,soft triangle,8.250625744,0.243344429
25.1,upper nasal dorsum,14.29528188,0.21560873
39.8,chin,9.323784186,0.17015752
39.8,glabella,5.560057087,0.264338989
39.8,left ala,18.37082618,0.154816736
39.8,left lower cheek,9.852887583,0.197201979
39.8,left lower lateral forehead,8.742953173,0.221502485
39.8,left lower nasal sidewall,23.16352993,0.199816841
39.8,left malar,4.584932941,0.272850056
39.8,left marionette fold,22.60471155,0.164859114
39.8,left mid nasal sidewall,25.6592563,0.17529194
39.8,left nasolabial fold,21.69326147,0.166746308
39.8,left temporal,42.01795762,0.106967908
39.8,left upper lip,25.94864752,0.119201301
39.8,lower medial forehead,8.650962776,0.208822273
39.8,lower nasal dorsum,11.60850394,0.232124512
39.8,nasal tip,12.95958075,0.233888402
39.8,philtrum,22.12763685,0.181355533
39.8,right ala,16.69797953,0.207841717
39.8,right lower cheek,15.83378524,0.173729701
39.8,right lower lateral forehead,14.10792209,0.194252418
39.8,right lower nasal sidewall,29.03548796,0.169716523
39.8,right malar,4.722703847,0.242190953
39.8,right marionette fold,33.75294867,0.137519202
39.8,right mid nasal sidewall,24.14980563,0.178877798
39.8,right nasolabial fold,17.85463379,0.159751802
39.8,right temporal,44.74148326,0.089666945
39.8,right upper lip,22.37796737,0.142723183
39.8,soft triangle,14.20162933,0.200167124
39.8,upper nasal dorsum,5.900270058,0.247837584
63.1,chin,12.14079531,0.186488143
63.1,glabella,2.380890134,0.235889875
63.1,left ala,13.19743771,0.164843187
63.1,left lower cheek,8.013968288,0.208189209
63.1,left lower lateral forehead,7.175578364,0.223660714
63.1,left lower nasal sidewall,16.83175768,0.172085169
63.1,left malar,2.718696044,0.246933284
63.1,left marionette fold,25.81624673,0.164584657
63.1,left mid nasal sidewall,17.55815276,0.158778819
63.1,left nasolabial fold,18.09729556,0.179195671
63.1,left temporal,37.99418601,0.08635038
63.1,left upper lip,24.29478687,0.161452474
63.1,lower medial forehead,4.476655383,0.215718904
63.1,lower nasal dorsum,8.469040508,0.222632962
63.1,nasal tip,11.25267232,0.199840265
63.1,philtrum,17.53308695,0.184563123
63.1,right ala,16.61978972,0.189380744
63.1,right lower cheek,15.12740695,0.187705556
63.1,right lower lateral forehead,8.466112849,0.18053487
63.1,right lower nasal sidewall,20.23687282,0.177128643
63.1,right malar,4.042442013,0.262539324
63.1,right marionette fold,30.06767047,0.132059086
63.1,right mid nasal sidewall,22.85756923,0.153892475
63.1,right nasolabial fold,16.65206538,0.170547579
63.1,right temporal,41.63266554,0.111833902
63.1,right upper lip,25.41683235,0.168658615
63.1,soft triangle,7.23193653,0.203729868
63.1,upper nasal dorsum,4.270097379,0.234508022
100,chin,5.663389584,0.25152263
100,glabella,3.858087591,0.26701577
100,left ala,8.815160808,0.174431925
100,left lower cheek,10.76974708,0.233633335
100,left lower lateral forehead,4.478030968,0.288098002
100,left lower nasal sidewall,9.821554647,0.209175512
100,left malar,2.819914777,0.293906907
100,left marionette fold,22.32392612,0.1899122
100,left mid nasal sidewall,13.36332515,0.2114892
100,left nasolabial fold,9.397561051,0.209307773
100,left temporal,36.97544195,0.119316979
100,left upper lip,21.42174284,0.150541848
100,lower medial forehead,5.550572642,0.268932206
100,lower nasal dorsum,5.088831209,0.252243853
100,nasal tip,5.846854703,0.246251547
100,philtrum,14.84412229,0.220053637
100,right ala,9.102299918,0.218227077
100,right lower cheek,12.13418286,0.204069002
100,right lower lateral forehead,7.593773706,0.270904373
100,right lower nasal sidewall,10.41914718,0.187037411
100,right malar,4.006374678,0.28296817
100,right marionette fold,21.56321504,0.195787313
