,attendant,motion,ROI,DTW,PCC,CCC,RMSE,MAE
0,angelo,resting,lower medial forehead,1.963714968,0.316967017,0.264262549,1.783348075,3.365884393
1,angelo,resting,left lower lateral forehead,2.010961239,0.274899129,0.226478503,1.718184727,3.170626515
2,angelo,resting,right lower lateral forehead,2.107696564,0.342929912,0.276462364,1.716976993,3.188483481
3,angelo,resting,glabella,2.009344,0.294278183,0.231672507,1.734579104,3.220284322
4,angelo,resting,upper nasal dorsum,2.11179284,0.242533086,0.198028229,1.798026206,3.418011978
5,angelo,resting,lower nasal dorsum,2.091903541,0.24892334,0.200457593,1.791323101,3.441587404
6,angelo,resting,soft triangle,2.012343777,0.299368193,0.25021976,1.756704221,3.297697198
7,angelo,resting,left ala,2.283262329,0.190866963,0.14245577,2.829021427,9.481130045
8,angelo,resting,right ala,2.215994,0.275076815,0.214416921,1.896323859,3.963678154
9,angelo,resting,nasal tip,2.002601501,0.240826897,0.200748632,1.784309168,3.44628335
10,angelo,resting,left lower nasal sidewall,2.210877233,0.146142513,0.117647377,7.147974372,54.56609002
11,angelo,resting,right lower nasal sidewall,2.141182429,0.238798081,0.190559543,1.904202603,4.100299104
12,angelo,resting,left mid nasal sidewall,2.286129685,0.173065142,0.132114829,5.783650628,39.43748261
13,angelo,resting,right mid nasal sidewall,2.048779547,0.247057725,0.200336545,1.970882234,4.751725239
14,angelo,resting,philtrum,2.149370548,0.188668446,0.146918618,2.954579427,11.4157067
15,angelo,resting,left upper lip,2.340311662,0.18426758,0.145266936,3.58064523,15.30974447
16,angelo,resting,right upper lip,2.117585395,0.202352642,0.158783653,1.893487682,3.823095571
17,angelo,resting,left nasolabial fold,2.267685532,0.173228603,0.131812651,2.727687433,8.431246176
18,angelo,resting,right nasolabial fold,2.17168325,0.290265193,0.231313566,2.118053193,5.198832132
19,angelo,resting,left temporal,2.407175627,0.140115593,0.106765319,4.034881762,18.5249574
20,angelo,resting,right temporal,2.099412559,0.248755942,0.197073141,1.906922498,4.000074117
21,angelo,resting,left malar,1.97808592,0.281817309,0.236807291,1.749432176,3.263392008
22,angelo,resting,right malar,1.899706464,0.314087106,0.268386171,1.75952996,3.305329411
23,angelo,resting,left lower cheek,2.090657026,0.220254563,0.185509236,1.968278704,4.218861038
24,angelo,resting,right lower cheek,1.965540779,0.296198577,0.251220073,1.699450847,3.102252103
25,angelo,resting,chin,1.960426188,0.299854984,0.253793111,1.734622243,3.210448738
26,angelo,resting,left marionette fold,2.232881171,0.204965395,0.149235545,2.255578394,5.825748072
27,angelo,resting,right marionette fold,1.962064353,0.241892243,0.197926296,1.754585316,3.346762019
28,angelo,gym,lower medial forehead,2.374711098,0.138459773,0.114681392,4.713565798,24.26426511
29,angelo,gym,left lower lateral forehead,2.363207116,0.126131989,0.105605774,5.238114214,29.89875223
30,angelo,gym,right lower lateral forehead,2.290857147,0.134683489,0.113315811,5.235940676,29.77696592
31,angelo,gym,glabella,2.354361519,0.170127325,0.137987373,4.459369669,21.71072409
32,angelo,gym,upper nasal dorsum,2.306863851,0.123305367,0.102622952,5.055528698,27.42798053
33,angelo,gym,lower nasal dorsum,2.329387151,0.111460219,0.09085037,5.94189391,36.32789848
34,angelo,gym,soft triangle,2.326572349,0.100836309,0.081152768,5.60467197,33.17554353
35,angelo,gym,left ala,2.32529772,0.116156157,0.094455544,5.436923527,31.26011721
36,angelo,gym,right ala,2.388933356,0.113741302,0.092321087,5.997326802,37.13847261
37,angelo,gym,nasal tip,2.294658557,0.10738979,0.089520133,5.66590115,33.27988813
38,angelo,gym,left lower nasal sidewall,2.328895048,0.111237596,0.090863118,5.874284225,35.59921992
39,angelo,gym,right lower nasal sidewall,2.384698393,0.103211805,0.084649033,5.864099075,35.4042753
40,angelo,gym,left mid nasal sidewall,2.382377188,0.095897074,0.074733965,5.887019145,36.14433153
41,angelo,gym,right mid nasal sidewall,2.368264909,0.105252148,0.082325982,6.099503337,38.34380594
42,angelo,gym,philtrum,2.35401656,0.114016001,0.092886802,5.64799403,33.19316766
43,angelo,gym,left upper lip,2.362223606,0.097967226,0.077676782,5.920241363,36.49934398
44,angelo,gym,right upper lip,2.337403451,0.111035273,0.091447944,5.685312848,33.68832554
45,angelo,gym,left nasolabial fold,2.365625427,0.116038863,0.093846686,6.0217931,37.49602788
46,angelo,gym,right nasolabial fold,2.384250528,0.10753758,0.086683233,5.617382271,33.28095187
47,angelo,gym,left temporal,2.34648986,0.13978942,0.111307286,5.311885831,30.29960489
48,angelo,gym,right temporal,2.38609547,0.100252008,0.08120018,6.046240268,37.8755947
49,angelo,gym,left malar,2.383051721,0.148370917,0.120852792,4.854990722,26.27997943
50,angelo,gym,right malar,2.405693251,0.172894421,0.144159225,4.869090103,26.48715013
51,angelo,gym,left lower cheek,2.380116592,0.137123911,0.110851101,5.620554156,34.25310677
52,angelo,gym,right lower cheek,2.490445,0.146400048,0.117292999,5.183939157,29.10395753
53,angelo,gym,chin,2.407228063,0.158491129,0.126864092,4.988523135,26.97858169
54,angelo,gym,left marionette fold,2.378448064,0.106726632,0.084250978,6.024097935,37.70637118
55,angelo,gym,right marionette fold,2.402434352,0.150467428,0.120147381,5.407213557,30.61754511
56,angelo,rotation,lower medial forehead,2.102016153,0.268195802,0.219001829,2.677004139,9.355971119
57,angelo,rotation,left lower lateral forehead,2.28289003,0.270314663,0.205469013,2.25003545,5.664096086
58,angelo,rotation,right lower lateral forehead,2.118259871,0.206881975,0.16385051,2.791476471,10.3878941
59,angelo,rotation,glabella,2.080580329,0.242848921,0.198149877,2.600255845,8.544167462
60,angelo,rotation,upper nasal dorsum,2.204927961,0.272418848,0.214713131,2.227709587,5.269827584
61,angelo,rotation,lower nasal dorsum,2.169736439,0.24442968,0.19647626,2.210551059,5.211429926
62,angelo,rotation,soft triangle,2.235131595,0.349546295,0.278555824,2.135691512,5.180512946
63,angelo,rotation,left ala,2.272074973,0.250068702,0.18438387,3.068857514,12.04892117
64,angelo,rotation,right ala,2.272554307,0.284902901,0.217891514,2.111099751,4.987965627
65,angelo,rotation,nasal tip,2.249907403,0.290362174,0.22444309,2.703349724,8.98042942
66,angelo,rotation,left lower nasal sidewall,2.374918947,0.148962079,0.103247862,4.582942244,24.90006975
67,angelo,rotation,right lower nasal sidewall,2.337076707,0.281045093,0.209805525,2.748057243,9.685325486
68,angelo,rotation,left mid nasal sidewall,2.32168943,0.13764631,0.093278147,4.706847128,24.6007726
69,angelo,rotation,right mid nasal sidewall,2.259636408,0.267909103,0.204720854,3.087707587,12.50757709
70,angelo,rotation,philtrum,2.317569698,0.269842516,0.205506409,2.313791414,6.030794707
71,angelo,rotation,left upper lip,2.31425166,0.265377535,0.189978583,2.406417414,6.747823774
72,angelo,rotation,right upper lip,2.272912734,0.277883953,0.211429262,2.907272496,10.56293912
73,angelo,rotation,left nasolabial fold,2.251038827,0.213988741,0.155651012,2.554383913,7.480135726
74,angelo,rotation,right nasolabial fold,2.274601282,0.303709162,0.23886971,2.45209579,7.730315865
75,angelo,rotation,left temporal,2.439480045,0.158846935,0.10127772,5.376945087,32.0810007
76,angelo,rotation,right temporal,2.35321203,0.267934087,0.195106188,2.309683029,5.62946047
77,angelo,rotation,left malar,2.171451995,0.352022659,0.27846334,2.579799125,8.313963139
78,angelo,rotation,right malar,2.061822699,0.362376532,0.310740296,2.811792392,10.20459555
79,angelo,rotation,left lower cheek,2.316823594,0.315249253,0.239690456,2.764213071,9.489865261
80,angelo,rotation,right lower cheek,2.190291489,0.317924926,0.260451583,3.576476295,17.79220811
81,angelo,rotation,chin,2.188325435,0.335934608,0.263410958,2.270575467,5.814857966
82,angelo,rotation,left marionette fold,2.296787219,0.256122462,0.19383146,2.753703842,9.494339771
83,angelo,rotation,right marionette fold,2.118158243,0.308636601,0.258269448,2.444516118,6.961654331
84,angelo,talk,lower medial forehead,2.625737658,0.274861293,0.19404785,3.016599566,9.711758778
85,angelo,talk,left lower lateral forehead,2.454098234,0.265360345,0.186176379,2.571279966,7.002008506
86,angelo,talk,right lower lateral forehead,2.416372887,0.202303487,0.150334891,3.151009734,12.59752881
87,angelo,talk,glabella,2.348375635,0.209693007,0.160975797,2.473480858,6.443407593
88,angelo,talk,upper nasal dorsum,2.430869841,0.215090661,0.158570467,4.247068706,19.24565496
89,angelo,talk,lower nasal dorsum,2.35066452,0.164439949,0.124456418,5.362979117,31.19021809
90,angelo,talk,soft triangle,2.561612167,0.176500404,0.12387503,4.090474491,20.18138345
91,angelo,talk,left ala,2.473812718,0.116995172,0.085256227,4.755435749,24.9292274
92,angelo,talk,right ala,2.402783722,0.077972777,0.056552744,5.779986244,34.7198718
93,angelo,talk,nasal tip,2.550979162,0.092928708,0.06225418,6.262271744,40.87328508
94,angelo,talk,left lower nasal sidewall,2.451786767,0.076646025,0.054841589,6.443852438,44.48257971
95,angelo,talk,right lower nasal sidewall,2.408761232,0.099522659,0.076674659,6.541403432,46.54384962
96,angelo,talk,left mid nasal sidewall,2.365973671,0.226193354,0.166156128,4.841974234,27.06119403
97,angelo,talk,right mid nasal sidewall,2.357173658,0.130716084,0.100317913,5.903870153,37.90296828
98,angelo,talk,philtrum,2.550258827,0.147257887,0.09103955,4.613752736,23.40200403
99,angelo,talk,left upper lip,2.569435919,0.107279919,0.069817247,5.303201832,31.58008525
100,angelo,talk,right upper lip,2.655985033,0.088528363,0.06190963,5.517309096,33.96300405
101,angelo,talk,left nasolabial fold,2.491173077,0.129911378,0.087647452,4.270230367,19.16973514
102,angelo,talk,right nasolabial fold,2.682853053,0.092903561,0.061279303,5.636525511,34.38362793
103,angelo,talk,left temporal,2.322867539,0.164380209,0.117040381,5.035552794,27.35282817
104,angelo,talk,right temporal,2.424835485,0.123972914,0.088640954,5.136519232,29.32496552
105,angelo,talk,left malar,2.570812595,0.23560914,0.172665664,2.891018277,8.926002431
106,angelo,talk,right malar,2.596252471,0.258946567,0.186786679,2.404584214,6.069296642
107,angelo,talk,left lower cheek,2.451773311,0.19694473,0.144369212,3.455032413,12.80713337
108,angelo,talk,right lower cheek,2.547185142,0.195511135,0.136976946,3.873458671,16.94550026
109,angelo,talk,chin,2.658225093,0.179323379,0.112847754,4.397005222,22.16160961
110,angelo,talk,left marionette fold,2.44219603,0.226963164,0.157381276,4.027281028,17.58169882
111,angelo,talk,right marionette fold,2.530961252,0.171118178,0.115331336,4.709351594,25.32246552
112,david,resting,lower medial forehead,1.957111857,0.260513228,0.241574013,1.588888178,2.598998404
113,david,resting,left lower lateral forehead,1.959314783,0.232878975,0.217932206,1.618530136,2.719795216
114,david,resting,right lower lateral forehead,1.925814392,0.223597663,0.212773627,1.592277435,2.602633297
115,david,resting,glabella,1.924896113,0.269792406,0.254518153,1.58568178,2.584323958
116,david,resting,upper nasal dorsum,1.922128442,0.203087238,0.188116089,1.62828196,2.746938833
117,david,resting,lower nasal dorsum,2.116505863,0.107682109,0.090876256,5.381013961,30.4879663
118,david,resting,soft triangle,2.074729926,0.164735385,0.14199192,5.194076737,32.22372129
119,david,resting,left ala,2.269237556,0.105244961,0.084567173,5.778292204,36.54166959
120,david,resting,right ala,1.995482292,0.160686434,0.142132525,2.438346226,8.241223235
121,david,resting,nasal tip,2.198273922,0.093295951,0.079994538,4.908308692,27.91132593
122,david,resting,left lower nasal sidewall,2.245621614,0.099138867,0.083903779,6.8730945,48.99106804
123,david,resting,right lower nasal sidewall,2.043501674,0.117755216,0.103289019,2.555971295,8.33014941
124,david,resting,left mid nasal sidewall,2.182396382,0.151792063,0.124485072,6.53344615,44.47171302
125,david,resting,right mid nasal sidewall,2.024687217,0.131042118,0.115631647,3.239185354,13.36282733
126,david,resting,philtrum,2.060766894,0.139630822,0.11706832,6.309508435,41.65432093
127,david,resting,left upper lip,2.125337323,0.116926997,0.099646744,6.147882798,39.75270059
128,david,resting,right upper lip,2.033700263,0.10456127,0.09242574,6.432596926,43.26436703
129,david,resting,left nasolabial fold,2.220446165,0.156814986,0.128758602,3.71765312,17.40421291
