,attendant,condition,ROI,DTW,PCC,CCC,RMSE,MAE
0,1.0,1.0,lower medial forehead,1.957905859510095,0.13094543294841487,0.1251154800594437,3.6466414008888406,14.138583039980142
1,1.0,1.0,left lower lateral forehead,1.9063266649820516,0.13909592261544398,0.13514859773266805,3.6323800243754847,14.022780585229402
2,1.0,1.0,right lower lateral forehead,1.9411359538534771,0.13534764162195623,0.12852605291051625,3.6215409468088176,13.924732461011454
3,1.0,1.0,glabella,1.948775259515271,0.130217164269164,0.12499582220167862,3.6551996084156797,14.157391931889876
4,1.0,1.0,upper nasal dorsum,2.1409828749874853,0.11615452361939181,0.10822903216640205,3.6721214909447504,14.370922094410668
5,1.0,1.0,lower nasal dorsum,2.186279888802821,0.11681055600346878,0.10494070800893435,3.700549860697239,14.46196963833863
6,1.0,1.0,soft triangle,2.163229666259616,0.10219274915021578,0.0959633404791627,3.632902964848464,14.083948010915789
7,1.0,1.0,left ala,2.0918042635399554,0.09987399828202888,0.0919407713592588,3.6720445090296345,14.318141692959772
8,1.0,1.0,right ala,2.1179312784144444,0.11916669125378065,0.11141083117935559,3.547581028022877,13.338019627197633
9,1.0,1.0,nasal tip,2.265965713038014,0.10826791148723763,0.0980305151625938,3.6934416001696073,14.45485496217995
10,1.0,1.0,left lower nasal sidewall,2.1343367299843137,0.11951230218125343,0.11151547235504398,3.672363579705518,14.311847550600856
11,1.0,1.0,right lower nasal sidewall,2.119584258209481,0.10652315698810588,0.09723547692103596,3.776596704200333,15.367654289472554
12,1.0,1.0,left mid nasal sidewall,2.044881524113155,0.1259407029875521,0.11823238638683678,3.682873058731117,14.526490100742889
13,1.0,1.0,right mid nasal sidewall,2.2412080017556923,0.08987142824153294,0.07396383499865057,3.697497150810641,14.399265689584288
14,1.0,1.0,philtrum,2.449092422993681,0.12677259356657564,0.10635980964572916,3.702189555818768,14.536419989524882
15,1.0,1.0,left upper lip,2.194951298751426,0.10378995386400529,0.0957578269158237,3.6946239531346206,14.40301348570287
16,1.0,1.0,right upper lip,2.2362693321626863,0.11977215901038525,0.10869206697678226,3.703734895989102,14.499336823108164
17,1.0,1.0,left nasolabial fold,2.121460066189469,0.12975445705790495,0.11985992478441906,3.701436852111347,14.697670446727535
18,1.0,1.0,right nasolabial fold,2.110739073855942,0.09718659783079803,0.09066834266316202,3.701797312337524,14.484661010406288
19,1.0,1.0,left temporal,2.115536803299231,0.12321467874691641,0.1092133298132422,3.7149917934965337,14.804969457801654
20,1.0,1.0,right temporal,2.8495261836428987,0.12785413381846378,0.08890677502580209,4.536060515740607,21.75506258162652
21,1.0,1.0,left malar,1.9264566161794325,0.12423057530507708,0.12080788215452311,3.6414219329750157,14.069526777619364
22,1.0,1.0,right malar,2.0345100277213333,0.11243858577877804,0.10810819155105784,3.6439052149962095,14.093351415685937
23,1.0,1.0,left lower cheek,2.087373780411923,0.1158908556186429,0.10821831979400122,3.620074481087278,13.913794483736131
24,1.0,1.0,right lower cheek,2.222385311943454,0.12058834086956163,0.11163484666440131,3.6786015492491777,14.370644909021038
25,1.0,1.0,chin,2.0534221297679527,0.11046094735697456,0.10353121634958891,3.700015106750706,14.514424548274432
26,1.0,1.0,left marionette fold,2.088597407409632,0.12095605728062746,0.11157398511490635,3.6823516327792176,14.36829924450373
27,1.0,1.0,right marionette fold,1.9439958532358288,0.09734486504898625,0.09448689273509922,3.682316636306195,14.302944358819978
