,attendant,condition,ROI,DTW,PCC,CCC,RMSE,MAE
0,1.0,1.0,lower medial forehead,2.789091754941778,0.14059526187204419,0.10078852370331767,3.635756653809043,14.049101732349072
1,1.0,1.0,left lower lateral forehead,2.8057302316832464,0.13358759000675693,0.09217406774875811,3.6384090552547703,14.056101789987562
2,1.0,1.0,right lower lateral forehead,2.76765015881812,0.13546422524909307,0.09394204018375542,3.6399972159754754,14.063787242564217
3,1.0,1.0,glabella,2.7996474022302054,0.12947938195087047,0.08674725481230283,3.6628642648485914,14.193596910207173
4,1.0,1.0,upper nasal dorsum,2.7701655956356177,0.13525338712066415,0.09440801990898634,3.6663459288469795,14.25295892496584
5,1.0,1.0,lower nasal dorsum,2.692952113328334,0.12499992903677756,0.08903894383524255,3.627012869983991,13.946318833378431
6,1.0,1.0,soft triangle,2.629338254615987,0.11363816366966449,0.07900596859349042,3.653708175271737,14.149754882928015
7,1.0,1.0,left ala,2.7842413635143597,0.11468254329535277,0.07663961175025931,3.6675005569424113,14.256165601340495
8,1.0,1.0,right ala,2.621630376585569,0.12724152365189176,0.09182473199626211,3.5830184050900047,13.552674771798873
9,1.0,1.0,nasal tip,2.716119211459617,0.10909222470267715,0.08226794931850127,3.672250143371388,14.269925730383083
10,1.0,1.0,left lower nasal sidewall,2.688458173780883,0.13379280494608925,0.0895656395363262,3.6697858834574983,14.241970552650404
11,1.0,1.0,right lower nasal sidewall,2.7994111561309665,0.10705870905436109,0.07225206240948281,3.669351201480835,14.23218042012171
12,1.0,1.0,left mid nasal sidewall,2.6077875553867376,0.13012411967852736,0.0938927939110185,3.643099881187734,14.084248939632834
13,1.0,1.0,right mid nasal sidewall,2.643890420377035,0.11382067094916375,0.08394671599463668,3.6446412968599042,14.022302695798027
14,1.0,1.0,philtrum,2.580745133092426,0.1178089338615661,0.09669824987585289,3.6575075632980814,14.09278032074966
15,1.0,1.0,left upper lip,2.6428127290174004,0.10258405824867955,0.08152489371616367,3.7011728136969304,14.294620301099467
16,1.0,1.0,right upper lip,2.765700697825088,0.11996974348054701,0.08735943575169274,3.7496986751328927,14.866697505706886
17,1.0,1.0,left nasolabial fold,2.8360763833183817,0.1307653909544765,0.09088220870998186,3.6798895995989436,14.280153600199652
18,1.0,1.0,right nasolabial fold,2.659315031499164,0.12896057213326165,0.09205342826855267,3.706476509183423,14.493960048628573
19,1.0,1.0,left temporal,2.790099713559873,0.1401435917723491,0.0967416335464351,3.6571298669901324,14.199668380497831
20,1.0,1.0,right temporal,2.643406026037443,0.11552139258297703,0.08889712158374495,4.584577663716409,21.947064116776733
21,1.0,1.0,left malar,2.834089309323426,0.14139930725899313,0.09557134112269404,3.6430474643318664,14.063438999115
22,1.0,1.0,right malar,2.747233773752689,0.11130753851121471,0.07829450888923467,3.651850642890843,14.10329289267137
23,1.0,1.0,left lower cheek,2.7559259554380624,0.13955870699827605,0.09724351547534238,3.63221052107189,14.030110419132361
24,1.0,1.0,right lower cheek,2.657118255688436,0.14774247267747098,0.11305872651184576,3.7604096633821933,15.018464342059357
25,1.0,1.0,chin,2.853019784624776,0.15471052302627,0.10695789787641473,3.5863797779394484,13.698950935379917
26,1.0,1.0,left marionette fold,2.845613881574296,0.14865808197280883,0.09756980360659716,3.650045056387509,14.124383298565682
27,1.0,1.0,right marionette fold,2.82497135538382,0.11577774857120483,0.0811724999000602,3.693443236219055,14.435527012563735
28,2.0,1.0,lower medial forehead,2.3562082197477356,0.5309758781573134,0.3742623331097033,1.759225597354338,3.472614299263255
29,2.0,1.0,left lower lateral forehead,2.4559145853068607,0.5266641605157238,0.3470152413740118,1.7587462113307044,3.4161289834737723
30,2.0,1.0,right lower lateral forehead,2.4122935249857864,0.538467192726622,0.36245798536041035,1.766805720291672,3.4999383887683235
31,2.0,1.0,glabella,2.4787761767691068,0.5267259728301945,0.3347116279045092,1.7688052340997242,3.4925082185338963
32,2.0,1.0,upper nasal dorsum,2.3965712125745786,0.5244270980311782,0.34029602124489855,1.7668711203834708,3.492238011227441
33,2.0,1.0,lower nasal dorsum,2.2005985688893763,0.5055322380564811,0.3756744047709153,1.7958028680293443,3.6306790585548008
34,2.0,1.0,soft triangle,2.3366825140055076,0.5338902626478899,0.36037101512532277,1.7976668807182408,3.6589179169648216
35,2.0,1.0,left ala,2.426523151725977,0.46724231716798204,0.3258832297501174,1.7818091044349575,3.4484313442209475
36,2.0,1.0,right ala,2.439168489201785,0.49176766314617326,0.3280020541292707,1.8263323413947574,3.7049666591658306
37,2.0,1.0,nasal tip,2.280325938779967,0.523472580146699,0.36520516379207496,1.8003901006644183,3.679883600271041
38,2.0,1.0,left lower nasal sidewall,2.4647519934472144,0.48823251527626294,0.33396861192033017,1.8540046146960394,3.732509126734338
39,2.0,1.0,right lower nasal sidewall,2.5079934545159617,0.5233611207823156,0.3435813519253365,1.7807963100687647,3.5283109709680796
40,2.0,1.0,left mid nasal sidewall,2.431098112559787,0.49755937998692185,0.34198542972336454,1.7951030109861257,3.5443068103629627
41,2.0,1.0,right mid nasal sidewall,2.3442891705817757,0.5206131512490869,0.3706896435023514,1.7824517921653198,3.5260776884356737
42,2.0,1.0,philtrum,2.4749628680823372,0.4976484263809538,0.323246353610141,1.8015148953685771,3.573783861881122
43,2.0,1.0,left upper lip,2.5147790688762424,0.410362818575654,0.3069637432697025,2.159103185133069,5.387153741158329
44,2.0,1.0,right upper lip,2.3353910204649764,0.4496268909109978,0.30578996508148243,2.1182136658199924,5.4510051534275545
45,2.0,1.0,left nasolabial fold,2.2875918054153375,0.4812403617506988,0.3565740281228157,1.838776724266679,3.746949682879186
46,2.0,1.0,right nasolabial fold,2.2787096489562084,0.5076164747798849,0.34658269991242163,1.7692995083199599,3.466218587635036
47,2.0,1.0,left temporal,2.3288855511834083,0.4984074638346937,0.3558729319863874,1.803613603792781,3.665627996210137
48,2.0,1.0,right temporal,2.37738175274447,0.525083227335354,0.35767567121984545,1.7901380604001325,3.614575449117972
49,2.0,1.0,left malar,2.3528581116354457,0.5335552959004859,0.35787711434370517,1.7714464317630392,3.5010534395864337
50,2.0,1.0,right malar,2.422748091495336,0.5342073506594117,0.3509037790801911,1.766317693646848,3.476138171562284
51,2.0,1.0,left lower cheek,2.5578072338165314,0.5126470186949985,0.33592286155945855,1.796667653207127,3.606756238042175
52,2.0,1.0,right lower cheek,2.407020968738986,0.5245119010290216,0.3516179328868474,1.7801943110933098,3.5387751219420633
53,2.0,1.0,chin,2.576071734199683,0.5053704080934989,0.3327543864940621,1.845653727293175,3.9472216961328
54,2.0,1.0,left marionette fold,2.4144829000298604,0.49743938223117495,0.34654122740844917,1.8430401094997224,3.937057372612288
55,2.0,1.0,right marionette fold,2.3430292221109355,0.522071850251113,0.35540475557729534,1.8194569135534338,3.9161902687981076
56,3.0,1.0,lower medial forehead,2.693365466420518,0.399006539596188,0.27396950156231353,1.7603998221550081,3.5599879739202085
57,3.0,1.0,left lower lateral forehead,2.826301608490741,0.3769622620581821,0.2581181335629602,1.6762198029786177,3.0563700772354996
58,3.0,1.0,right lower lateral forehead,2.776591610526584,0.40236363407428355,0.28460238270322485,1.64116558428962,2.9730640037459586
59,3.0,1.0,glabella,2.843311408041394,0.4460340681421595,0.29348425677485157,1.641550025999002,2.97528599990891
60,3.0,1.0,upper nasal dorsum,2.8472865295752765,0.40327034038035386,0.26424359212606346,1.6548891164883635,2.9821909350892706
61,3.0,1.0,lower nasal dorsum,2.8033462504421736,0.1699534506752648,0.12038514445762857,4.064046290573702,18.22791780785239
62,3.0,1.0,soft triangle,2.828484892123128,0.34911920766794635,0.25716588525031564,1.9176644489900316,4.02886142639846
63,3.0,1.0,left ala,3.1212864492908476,0.2662615196909643,0.18831449372663492,3.4793661108643468,13.093549499487986
64,3.0,1.0,right ala,2.9399113871053837,0.2805854675276019,0.20363489723824255,3.025786013668571,10.18830856205272
65,3.0,1.0,nasal tip,2.8671785915705383,0.188254923486119,0.13601720410558207,3.7641803644310854,16.092190970158843
66,3.0,1.0,left lower nasal sidewall,2.7878090544483576,0.19319572791650252,0.1406850169451499,3.432440171504092,13.347888607282911
67,3.0,1.0,right lower nasal sidewall,2.780039875759192,0.2538686046815288,0.18725646381003563,2.362686302142465,6.54848579275166
68,3.0,1.0,left mid nasal sidewall,2.801858039968079,0.22500004963213435,0.14909098751912717,3.1274619935770374,11.806804005828115
69,3.0,1.0,right mid nasal sidewall,2.515599496853873,0.27112105435296324,0.2214034202500967,3.423654778032283,13.805035826105037
70,3.0,1.0,philtrum,2.79731906472233,0.15800323255535756,0.12477940938909492,4.173347171309539,18.07364427560002
71,3.0,1.0,left upper lip,3.0048441548815026,0.14791913376409913,0.11604328615960534,4.896791961206103,24.659817583494263
72,3.0,1.0,right upper lip,2.955922637318204,0.1699107905443276,0.12752904772901857,4.612032744249351,21.803989874168934
